Year,S&P500,3-month T.Bill, 10-year T. Bond
1928,1.4381,1.0308,1.0084
1929,0.917,1.0316,1.042
1930,0.7487999999999999,1.0455,1.0454
1931,0.5616,1.0231,0.9744
1932,0.9136,1.0107,1.0879
1933,1.4998,1.0096,1.0186
1934,0.9881,1.0032,1.0796000000000001
1935,1.4674,1.0018,1.0447
1936,1.3194,1.0017,1.0502
1937,0.6466,1.003,1.0138
1938,1.2928,1.0008,1.0421
1939,0.989,1.0004,1.0441
1940,0.8933,1.0003,1.054
1941,0.8723,1.0008,0.9798
1942,1.1917,1.0034,1.0229
1943,1.2506,1.0038,1.0249
1944,1.1903000000000001,1.0038,1.0258
1945,1.3582,1.0038,1.038
1946,0.9157,1.0038,1.0313
1947,1.052,1.0057,1.0092
1948,1.057,1.0102,1.0195
1949,1.183,1.011,1.0466
1950,1.3081,1.0117,1.0043
1951,1.2368000000000001,1.0148,0.997
1952,1.1815,1.0167,1.0227
1953,0.9879,1.0189,1.0414
1954,1.5256,1.0096,1.0329
1955,1.326,1.0166,0.9866
1956,1.0744,1.0256,0.9774
1957,0.8954,1.0323,1.068
1958,1.4372,1.0178,0.979
1959,1.1206,1.0326,0.9735
1960,1.0034,1.0305,1.1164
1961,1.2664,1.0227,1.0206
1962,0.9118999999999999,1.0278,1.0569
1963,1.2261,1.0311,1.0168
1964,1.1642000000000001,1.0351,1.0373
1965,1.124,1.039,1.0072
1966,0.9003,1.0484,1.0291
1967,1.238,1.0433,0.9842
1968,1.1081,1.0526,1.0327
1969,0.9176,1.0655999999999999,0.9499
1970,1.0356,1.0669,1.1675
1971,1.1421999999999999,1.0454,1.0979
1972,1.1876,1.0395,1.0282
1973,0.8569,1.0673,1.0366
1974,0.741,1.0778,1.0199
1975,1.37,1.0599,1.0361
1976,1.2383,1.0497,1.1598
1977,0.9302,1.0513,1.0129
1978,1.0651,1.0693,0.9922
1979,1.1852,1.0994,1.0067
1980,1.3174,1.1122,0.9701
1981,0.953,1.143,1.082
1982,1.2042,1.1101,1.3281
1983,1.2234,1.0845,1.032
1984,1.0615,1.0961,1.1373
1985,1.3124,1.0749,1.2570999999999999
1986,1.1849,1.0604,1.2428
1987,1.0581,1.0572,0.9504
1988,1.1654,1.0645,1.0822
1989,1.3148,1.0811,1.1769
1990,0.9694,1.0755,1.0624
1991,1.3023,1.0561,1.15
1992,1.0749,1.0341,1.0936
1993,1.0997,1.0298,1.1421000000000001
1994,1.0133,1.0399,0.9196
1995,1.372,1.0552,1.2348
1996,1.2268,1.0502,1.0143
1997,1.331,1.0505,1.0994
1998,1.2833999999999999,1.0473,1.1492
1999,1.2089,1.0451,0.9175
2000,0.9097,1.0576,1.1666
2001,0.8815,1.0367,1.0557
2002,0.7803,1.0166,1.1512
2003,1.2836,1.0103,1.0038
2004,1.1074,1.0123,1.0449
2005,1.0483,1.0301,1.0287
2006,1.1561,1.0468,1.0196
2007,1.0548,1.0464,1.1021
2008,0.6345000000000001,1.0159,1.201
2009,1.2594,1.0014,0.8888
2010,1.1482,1.0013,1.0846
2011,1.021,1.0003,1.1604
2012,1.1589,1.0005,1.0297
2013,1.3215,1.0007,0.909
2014,1.1352,1.0005,1.1075
2015,1.0138,1.0021,1.0128
2016,1.1177,1.0051,1.0069
2017,1.2164,1.0139,1.028
